Pixel Shift X (Columns),Pixel Shift Y (Rows),Confidence (%),Dist. X (mm),Dist. Y (mm),Hexapod X (mm),Hexapod Y (mm),Error X (mm),Error Y (mm)
0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,99.9619,0.0,0.0,0.0,0.0,0.0,0.0
0,0,99.7955,0.0,0.0,0.0,0.0,0.0,0.0
0,0,99.7782,0.0,0.0,0.0,0.0,0.0,0.0
0,0,99.8207,0.0,0.0,0.0,0.0,0.0,0.0
0,0,99.8645,0.0,0.0,0.0,0.0,0.0,0.0
0,0,99.8534,0.0,0.0,0.0,0.0,0.0,0.0
0,0,99.7967,0.0,0.0,0.0,0.0,0.0,0.0
0,0,99.9216,0.0,0.0,0.0,0.0,0.0,0.0
0,0,99.8931,0.0,0.0,0.0,0.0,0.0,0.0
0,0,99.8204,0.0,0.0,0.0,0.0,0.0,0.0
0,0,99.8046,0.0,0.0,0.0,0.0,0.0,0.0
0,0,99.7576,0.0,0.0,0.0,0.0,0.0,0.0
1,0,99.6028,-0.00389433,5.2323e-05,0.0,0.0,-0.00389433,5.2323e-05
0,0,99.5995,0.0,0.0,0.0,0.0,0.0,0.0
1,0,99.5997,-0.00389433,5.2323e-05,0.0,0.0,-0.00389433,5.2323e-05
1,0,99.5645,-0.00389433,5.2323e-05,0.0,0.0,-0.00389433,5.2323e-05
0,0,99.64,0.0,0.0,0.0,0.0,0.0,0.0
0,0,99.8033,0.0,0.0,0.0,0.0,0.0,0.0
1,0,99.6097,-0.00389433,5.2323e-05,0.0,0.0,-0.00389433,5.2323e-05
1,0,99.5879,-0.00389433,5.2323e-05,0.0,0.0,-0.00389433,5.2323e-05
-1,0,99.6773,0.00389433,-5.2323e-05,0.0,0.0,0.00389433,-5.2323e-05
-4,4,99.0795,0.0157268,0.0151438,0.012,0.012,0.003726799999999999,0.0031438000000000004
-9,10,97.7155,0.0354227,0.0379118,0.024,0.024,0.011422700000000001,0.013911800000000002
-14,14,95.7379,0.0550438,0.0530032,0.036,0.036,0.0190438,0.017003200000000003
-20,22,92.3954,0.0787088,0.0833955,0.048,0.048,0.030708799999999994,0.035395499999999996
-27,29,88.9092,0.106231,0.109897,0.06,0.06,0.04623100000000001,0.049897
-33,35,85.7944,0.129821,0.132613,0.072,0.072,0.057821,0.060613000000000014
-39,42,82.8978,0.153449,0.159167,0.084,0.084,0.069449,0.075167
192,-96,80.6119,-0.751299,-0.358428,0.096,0.096,-0.847299,-0.45442800000000005
186,-89,80.6755,-0.727672,-0.331874,0.108,0.108,-0.835672,-0.439874
180,-84,80.0048,-0.704119,-0.312996,0.12,0.12,-0.824119,-0.432996
174,-78,78.8435,-0.680529,-0.290281,0.132,0.132,-0.8125290000000001,-0.422281
168,-71,77.2853,-0.656901,-0.263727,0.144,0.144,-0.800901,-0.40772699999999995
167,80,76.7073,-0.647363,0.3158,0.156,0.156,-0.803363,0.15980000000000003
52,-158,76.5316,-0.20841,-0.603726,0.168,0.168,-0.37641,-0.771726
44,-149,76.6656,-0.176919,-0.5696,0.18,0.18,-0.356919,-0.7496
37,-142,76.8854,-0.149397,-0.543098,0.192,0.192,-0.341397,-0.735098
-256,-110,77.5712,0.992837,-0.435604,0.204,0.204,0.788837,-0.639604
-261,-104,77.9181,1.01253,-0.412836,0.216,0.216,0.79653,-0.628836
-268,-96,77.847,1.04009,-0.382496,0.228,0.228,0.81209,-0.610496
-274,-90,77.6406,1.06368,-0.359781,0.24,0.24,0.82368,-0.599781
-182,83,77.2061,0.71187,0.309054,0.252,0.252,0.45987,0.057053999999999994
-186,89,77.5264,0.727672,0.331874,0.264,0.264,0.463672,0.06787399999999999
-188,91,77.4533,0.735535,0.339446,0.276,0.276,0.459535,0.063446
-190,93,77.2766,0.743398,0.347018,0.288,0.288,0.455398,0.059018000000000015
-191,94,77.2254,0.74733,0.350804,0.3,0.3,0.44733000000000006,0.050804000000000016
-191,93,77.2334,0.747293,0.346965,0.3,0.3,0.447293,0.046965000000000034
-191,94,77.1883,0.74733,0.350804,0.3,0.3,0.44733000000000006,0.050804000000000016
-191,94,77.209,0.74733,0.350804,0.3,0.3,0.44733000000000006,0.050804000000000016
-191,93,77.2431,0.747293,0.346965,0.3,0.3,0.447293,0.046965000000000034
-191,94,77.2414,0.74733,0.350804,0.3,0.3,0.44733000000000006,0.050804000000000016
-191,93,77.2176,0.747293,0.346965,0.3,0.3,0.447293,0.046965000000000034
-191,93,77.2336,0.747293,0.346965,0.3,0.3,0.447293,0.046965000000000034
-191,94,77.245,0.74733,0.350804,0.3,0.3,0.44733000000000006,0.050804000000000016
-191,93,77.2077,0.747293,0.346965,0.3,0.3,0.447293,0.046965000000000034
-191,94,77.237,0.74733,0.350804,0.3,0.3,0.44733000000000006,0.050804000000000016
-191,94,77.2382,0.74733,0.350804,0.3,0.3,0.44733000000000006,0.050804000000000016
-191,93,77.2606,0.747293,0.346965,0.3,0.3,0.447293,0.046965000000000034
-191,95,77.239,0.747367,0.354642,0.3,0.3,0.447367,0.054642000000000024
-191,93,77.2671,0.747293,0.346965,0.3,0.3,0.447293,0.046965000000000034
-191,94,77.2823,0.74733,0.350804,0.3,0.3,0.44733000000000006,0.050804000000000016
-191,94,77.2822,0.74733,0.350804,0.3,0.3,0.44733000000000006,0.050804000000000016
-191,93,77.2234,0.747293,0.346965,0.3,0.3,0.447293,0.046965000000000034
-191,94,77.2548,0.74733,0.350804,0.3,0.3,0.44733000000000006,0.050804000000000016
-191,94,77.2397,0.74733,0.350804,0.3,0.3,0.44733000000000006,0.050804000000000016
